2018-01-22T14:56:48,I just added this to my closet on Poshmark: Jil Sander black green gray 3 Ply cashmere. ,372.85,"['372.85', '379.25', '387.75', '379.45', '369.15']"
2018-01-22T05:59:20,Review of Greenply – Plywood ,372.85,"['372.85', '379.25', '387.75', '379.45', '369.15']"
2018-03-03T08:27:29,4 New LT265/75R16 E 10 Ply Green Max Traveler M/T Mud/All Terrain 887519 qwn: $706.61 End… ,337.70,"['337.70', '336.60', '327.10', '327.35', '327.15']"
2018-04-03T11:04:56,Greenply may appreciate to Rs 385 in one year.. Read More..  ,314.85,"['314.85', '318.85', '321.20', '318.95', '319.55']"
2018-02-14T17:10:24,£17.50 -2955 #Paper #Hand #Towels #Green or #Blue 1 Ply #C-#Fold Paper Hand Towels #Best #Price ,370.75,"['370.75', '368.20', '365.40', '350.15', '350.25']"
2018-02-21T23:10:43,$7.69   -  Marcal Toilet Paper 100% Recycled - 2 Ply White Bath Tissue  168 Sheets Per Roll - 16 Big Roll Green Seal Certified Toilet Paper 16466 ,347.25,"['347.25', '343.15', '347.65', '344.90', '346.35']"
2018-02-21T04:30:04,Wedding #beds are as #special as #wedding #nights Greenply Plywood #DigitalBiryani ,347.25,"['347.25', '343.15', '347.65', '344.90', '346.35']"
2018-04-01T22:56:48,the word is either bi  pan  ply  or just queer. I don’t think she’s a lesbian or gay or trans  so she’s not all five letters ,313.85,"['313.85', '314.85', '318.85', '321.20', '318.95']"
2018-04-01T16:51:26,Egggciting! NEW in our shop  an EXPLOSION of colour and silky soft too!  Check them out. They will not last. All are 100% alpaca  3 ply  100g/200yards. #pei #knitting #knitstagram #alpaca #yarn #lys #etsy #weship  @ Green Gable Alpacas,313.85,"['313.85', '314.85', '318.85', '321.20', '318.95']"
2018-04-01T16:35:17,ON SALE! TideWe Bootfoot Chest Wader  2-Ply Nylon/PVC Waterproof Fishing &Hunting Waders for Men and Women (Green and Brown) - ,313.85,"['313.85', '314.85', '318.85', '321.20', '318.95']"
